2024-03-09 03:11:50 error: 	--- MongoDB connection failure ---
2024-03-09 03:15:11 error: 	--- MongoDB connection failure ---
2024-03-09 03:27:40 error: 	jwt expired
2024-03-09 03:29:19 error: 	--- MongoDB connection failure ---
2024-03-09 03:29:56 error: 	--- MongoDB connection failure ---
2024-03-09 03:49:44 error: 	Failed to connect to MongoDB mongodb://128.0.0.1:27017/SGtest/ connect ETIMEDOUT 128.0.0.1:27017
2024-03-09 03:51:38 error: 	Failed to connect to MongoDB mongodb://128.0.0.1:27017/SGtest/, ERROR: MongoServerSelectionError: connect ETIMEDOUT 128.0.0.1:27017
2024-03-09 05:49:23 error: 	Failed to connect to MongoDB mongodb://128.0.0.1:27017/SGtest/, ERROR: connect ETIMEDOUT 128.0.0.1:27017
2024-03-09 05:57:01 error: 	Failed to connect to MongoDB mongodb://128.0.0.1:27017/SGtest/, ERROR: connect ETIMEDOUT 128.0.0.1:27017
2024-03-09 05:57:49 error: 	Failed to connect to MongoDB mongodb://128.0.0.1:27017/SGtest/, ERROR: connect ETIMEDOUT 128.0.0.1:27017
2024-03-09 07:08:18 error: 	jwt expired
